,M
0,1
1,2735
2,5444
3,8072
4,10609
5,13006
6,15240
7,17291
8,19122
9,20726
10,22075
11,23166
12,23985
13,24531
14,24800
15,24799
16,24538
17,24024
18,23276
19,22312
20,21155
21,19825
22,18353
23,16765
24,15085
25,13353
26,11580
27,9816
28,8069
29,6376
30,4758
31,3229
32,1824
33,537
34,-600
35,-1593
36,-2426
37,-3104
38,-3625
39,-3993
40,-4223
41,-4311
42,-4288
43,-4153
44,-3936
45,-3645
46,-3309
47,-2940
48,-2562
49,-2194
50,-1856
51,-1557
52,-1331
53,-1166
54,-1100
55,-1120
56,-1245
57,-1474
58,-1806
59,-2243
60,-2769
61,-3392
62,-4081
63,-4843
64,-5646
65,-6484
66,-7333
67,-8174
68,-8990
69,-9762
70,-10459
71,-11087
72,-11597
73,-12001
74,-12273
75,-12396
76,-12376
77,-12195
78,-11856
79,-11362
80,-10705
81,-9909
82,-8967
83,-7905
84,-6730
85,-5467
86,-4126
87,-2744
88,-1326
89,83
90,1481
91,2822
92,4100
93,5275
94,6343
95,7266
96,8045
97,8648
98,9077
99,9315
100,9359
101,9212
102,8869
103,8341
104,7637
105,6766
106,5754
107,4606
108,3359
109,2024
110,640
111,-779
112,-2192
113,-3584
114,-4904
115,-6155
116,-7282
117,-8277
118,-9112
119,-9762
120,-10223
121,-10463
122,-10494
123,-10282
124,-9857
125,-9193
126,-8313
127,-7218
128,-5928
129,-4453
130,-2828
131,-1054
132,815
133,2778
134,4781
135,6808
136,8824
137,10785
138,12684
139,14462
140,16114
141,17597
142,18894
143,19987
144,20846
145,21471
146,21838
147,21950
148,21801
149,21393
150,20728
151,19828
152,18684
153,17337
154,15791
155,14073
156,12213
157,10229
158,8156
159,6023
160,3854
161,1685
162,-459
163,-2547
164,-4560
165,-6462
166,-8247
167,-9878
168,-11357
169,-12659
170,-13779
171,-14716
172,-15453
173,-16012
174,-16377
175,-16573
176,-16596
177,-16469
178,-16201
179,-15813
180,-15322
181,-14746
182,-14107
183,-13423
184,-12716
185,-12004
186,-11304
187,-10633
188,-10003
189,-9429
190,-8921
191,-8480
192,-8121
193,-7828
194,-7623
195,-7475
196,-7405
197,-7378
198,-7402
199,-7450
200,-7518
201,-7578
202,-7631
203,-7634
204,-7598
205,-7483
206,-7288
207,-6990
208,-6586
209,-6052
210,-5394
211,-4593
212,-3662
213,-2585
214,-1380
215,-45
216,1411
217,2960
218,4611
219,6321
